ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CYVD,medium_airport,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,1454,NA,CA,CA-MB,Virden,CYVD,,YVD,"-100.917999268, 49.8782997131"
CYVG,small_airport,Vermilion Airport,2025,NA,CA,CA-AB,Vermilion,CYVG,YVG,YVG,"-110.823997498, 53.355800628699996"
CYVK,medium_airport,Vernon Airport,1140,NA,CA,CA-BC,Vernon,CYVK,YVE,,"-119.33100128173828, 50.24810028076172"
CYVL,small_airport,Tommy Kochon Airport,870,NA,CA,CA-NT,Colville Lake,CYVL,YCK,,"-126.126, 67.02"
CYVM,medium_airport,Qikiqtarjuaq Airport,21,NA,CA,CA-NU,Qikiqtarjuaq,CYVM,YVM,,"-64.03140258789999, 67.5457992554"
CYVO,medium_airport,Val-d'Or Airport,1107,NA,CA,CA-QC,Val-d'Or,CYVO,YVO,,"-77.7827987671, 48.0532989502"
CYVP,medium_airport,Kuujjuaq Airport,129,NA,CA,CA-QC,Kuujjuaq,CYVP,YVP,,"-68.4269027709961, 58.096099853515625"
CYVQ,medium_airport,Norman Wells Airport,238,NA,CA,CA-NT,Norman Wells,CYVQ,YVQ,,"-126.7979965209961, 65.28160095214844"
CYVR,large_airport,Vancouver International Airport,14,NA,CA,CA-BC,Vancouver,CYVR,YVR,,"-123.183998108, 49.193901062"
CYVT,small_airport,Buffalo Narrows Airport,1423,NA,CA,CA-SK,Buffalo Narrows,CYVT,YVT,,"-108.417999268, 55.8418998718"
CYVV,medium_airport,Wiarton Airport,729,NA,CA,CA-ON,Wiarton,CYVV,YVV,,"-81.107201, 44.7458"
CYVZ,medium_airport,Deer Lake Airport,1092,NA,CA,CA-ON,Deer Lake,CYVZ,YVZ,,"-94.0614013671875, 52.655799865722656"
CYWA,medium_airport,Petawawa Airport,427,NA,CA,CA-ON,Petawawa,CYWA,YWA,,"-77.31919860839844, 45.95220184326172"
CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,783,NA,CA,CA-MB,Winnipeg,CYWG,YWG,YWG,"-97.2398986816, 49.909999847399995"
CYWH,seaplane_base,Victoria Harbour Seaplane Base,,NA,CA,CA-BC,Victoria,CYWH,YWH,,"-123.388867378, 48.4249858939"
CYWJ,medium_airport,D̩line Airport,703,NA,CA,CA-NT,D̩line,CYWJ,YWJ,,"-123.43599700927734, 65.21109771728516"
CYWK,medium_airport,Wabush Airport,1808,NA,CA,CA-NL,Wabush,CYWK,YWK,,"-66.8644027709961, 52.92190170288086"
CYWL,medium_airport,Williams Lake Airport,3085,NA,CA,CA-BC,Williams Lake,CYWL,YWL,,"-122.054000854, 52.1831016541"
CYWM,small_airport,Athabasca Airport,1971,NA,CA,CA-AB,Athabasca,CYWM,,,"-113.20500183105469, 54.743099212646484"
